index,query
544,How do I make a daily schedule when I am home all day?
545,Should I do stair-steps in order to have an exercise routine?
546,"After you've put away whatever you have, make sure to vigorously wash your hands and apply disinfectant."
547,Contact of financial aid office by college students.
548,What options would you like to be listed?
549,"When you're not feeling well, ask someone to bring food to you, rather than going out to get it."
550,Track state rules for group reunions.
551,Make sure to prevent your animal from coming into contact with anyone who has the coronavirus.
552,"If you realize you don't have enough money to pay, talk to your lender right away."
553,Keep up with your vaccinations.
554,"In the interest of avoiding untrue news information, point out for them which ones are the responsible news agencies."
555,Coolmath.com has many fun games you can use to teach math.
556,What type of measures are you taking to keep COVID-19 from spreading amongst the population?
557,The protective device you wear should be more than one piece of cloth thick.
558,Reliance on credible sources will give you better information than social media.
559,Keep the number of people in a single elevator car small.
560,Do i need to move food from the packaging to my own plate and throw the trash out?
561,Limit how often you check updates.
562,Give unused medical and cleaning supplies away to charity.
563,Where can I order food from that is close by?
564,Be sure to totally comprehend alternate causes.
565,Are there more Alabama hospitalizations compared to other states?
566,Under what authority will the CDPH school guidance be enforced?
567,"If I am not sick, should I find other modes of transportation rather than public transportation?"
568,What precautions do I need to take to prepare for work?
569,Can you give me information about breathing respirators?
570,"When they investigate death, are there any precautions law enforcement officers should take?"
571,school metered dose inhaler used by multiple students having individual spacers as actuator is cleaned after being use by each student.
572,What's the best way for parents to have conversations with their children regarding the coronavirus?
573,Are there precautions we should take to make sure sports officiates and coaches are kept safe from covid when they are older?
574,Cleaning and disinfection of machinery/equipment
575,How should people be treated who may have COVID-19 for a second time?
576,Can pets transmit COVID-19?
577,"When considering protective clothing, look for something recommended by the CDC."
578,Can a person be reinfected with Covid-19?
579,Positive family activities to do for exercise like walking
580,What conditions help people accept riskier solutions?
581,How is Marxist theory being used by groups?
582,What is the most accurate definition of the term COVID-19?
583,what is the efficicacy of hand sanitizer compared to that of soap and water?
584,"What can I do if I don't have any symptoms, but I think I may have been around someone with Covid?"
585,Why was the Stay at Home order put in place and when did it end?
586,Are medical gloves sufficent to protect me from contracting coronavirus?
587,How are tests categorized when offered prior to or without an EUA?
588,How do I protect myself from COVID-19 in the environment?
589,What particular kinds of things is it still not advisable to take part in or to do in light of the virus?
590,PPE will still be needed once things start to relax so Covid doesn't flare up again. Workers will be asked to follow CDC guidelines when someone gets sick.
591,"If there are more outbreaks of COVID, what safety precautions will be taken?"
592,"If a patient might or definitely does have the COVID-19 virus, what is the preferred glove classification to use in a health maintenance milieu when providing care?"
593,What gloves protect from COVID-19?
594,"persistent pain or pressure in the chest, new confusion, inability to wake or stay awake, or bluish lips or face.  The health department staff will not ask you for"
595,"How would anyone know to track me and get my information, that is assuming I come in contact with an individual already diagnosed with Covid-19?"
596,I want to take proactive steps to protect the residents at my nursing home from COVID-19.
597,How should residential living facilities best prepare for prevention and containment of COVID-19?
598,Sparying disinfection on sidewalks does not reduce the risk of COVID-19
599,I'd like to scrub streets to rid them of COVID-19.
600,"In terms of the local environs, especially in the vicinity of one's base of operations, what steps could one take to discover if COVID-19 has become prevalent there?"
601,"Where can I find information germane to the tracking of Covid-19 spread in my region, so that I might be alerted before or at the time it starts to make a marked appearance in the area where I work?"
602,Require employees to wear masks and practice hand sanitization techniques.
603,"If some privilege given to the people in severe illness , it may be very helpful for them and their family."
604,Can we expect the corona virus to become less dangerous as time passes?
605,Will COVID-19 eventually die?
606,Please continue to move your car on street cleaning days so the city doesnâ€™t turn into a petri dish of germs.
607,Cities should do street cleaning and sanitiation measures in accordance with CDC guidance.
608,On what future date can individuals expect that abandoning the habit of social distancing from another might become an actual reality?
609,"Dr. Celine Grounder an infectious specialist at Bellevue Hospital Center says, ""Research by the Imperial College in Great Britain suggest, you have to institute these kinds of measures for five months, very vigorously."""
610,What COVID-19 test are no longer FDA approved?
611,what is the prodrome of being infected with covid 19?
612,What are the manifestations of COVID-19 infection
613,"There are some common symptoms with Covid, but it affects everyone differently. Best thing to do is get tested if you think you have it."
614,What symptoms should lead a person to suspect they have COVID-19?
615,"Until recently, I had never in fact heard of contact tracing. So, I find myself to be quite curious about it. I need an explicit definition, so that I might fully understand its purpose, it's logical steps in creation and why one would want to go about it at all."
616,"What is involved in the process of contact tracing, in what way does it serve a vital purpose, and what is its exact definition?"
617,infected person must use face mask and sanitizer frequently
618,Does someone need to show symptoms of COVID-19 in order to transmit the virus to other people?
619,Do any remedies exist which are capable of providing assistance in my efforts to preclude the possibility of any staff downsizing?
620,I can't afford to lose any of my employees. How can I prevent furloughing them?
621,"Are the terms coronavirus and Covid-19 equivalent and interchangeable identifiers or do the two words represent disparate aspects of the infectious agent at the heart of the pandemic, in which case, how is that distinction manifested?"
622,what is contrasting between coronavirus and covid-19
624,"What are the chances that coronavirus might be present on produce, fruit, vegetables and other types of food?"
625,Do I need to worry about food being contaminated with Covid-19?
626,My IC is participating. Where can I see the emergency notices that apply to us?
627,"Can the Emergency Notices of Special Interest, or NOSI, corresponding to the total number of involved ICs be accessed in a particular location?"
628,"Covid-19 is taking lives, so get tested anytime you feel you need to. There is no negative impact on you for getting tested."
629,"If I'm applying for a green card or citizenship, can I still receive treatment for COVID-19 or get tested?"
630,In what ways is the organization helping solve COVID 19-related cash flow issues experienced by the public?
631,What can I do about unsafe job during pandemic?
632,Is a business allowed to open extra registers if it follows pandemic guidelines?
633,"Is it practicable. that as a sort of reward for singular compliance to every social distancing and cleanliness standard set by business strictures vis a vis Covid-19, that a commercial entity then be given the go ahead to open an additional line of check out?"
634,Should my organization be doing anything differently to meet the new social-distancing standards?
635,"As the knowledge of the virus grows in detail, the codes that businesses must comply with to stay open and be in proper step with social distancing rules change. Always check to see that your place of business is in step with the latest updates."
636,"In what way is screening for COVID-19 defined differently than testing for COVID-19 and, if both procedures were to take place, who would the typical participants be for each?"
637,A nurser of staff member will be able to better assist you in being tested or screened for COVID-19.
638,"NASS reporting may go unchanged from its normal schedule. Please keep in mind, we will evaluate the health concerns of our employees and inform the public of subsequent delays, if necessary."
639,Changes to the NASS report will be announced if they happen
640,What would VDH learn that would help with future planning for healthcare needs from the data collected during the Coronavirus Serology Project?
641,The website will show what school activities are allowed in Phases II and III.
642,"Now that school reentry has been aportioned into two distinct sections, I should have a better idea as to when my child can return to school. However, I do not. Please help me to understand whether my particular child fits into the Phase I, or the Phase II portion of school returns."
643,I found face coverings with valves or vents and wanted to know if wearing one of those was the best way to avoid spreading COVID-19.
644,Is habitual usage of a vented or valved mask effective in regards to restricting the expanded proliferation of the coronavirus agent?
645,How do we best protect our elderly and/or compromised patients receiving in-home services?
646,"Workers who care for clients in the clients' homes have asked if they should wear PPE to protect these clients, many of whom are immunocompromised and/or old."
647,What conditions does has the World Health Organization approved dexamethasone for?
648,"According to the WHO, dexamethasone has not been authorized as an injection manament for COVID-19."
649,Can being around a person with no symptoms of COVID-19 put you at risk of contracting the disease?
650,"New risks to the well-being of those that must continue to go to work during the worldwide Covid-19 crisis are being documented and discovered daily. To counter these unavoidable risks, what sort of props of a medical nature and of a psychosocial nature should workers insist upon and expect?"
651,"During the Covid-19 health crisis, employees should get access to mental health and psychosocial help upon comprehensive risk assessments."
652,"Set some goals to feel better. Start out with some light exercises, eat healthier, and try meditating."
653,"Lately, every morning starts off with pain in my upper arm region. I am an older adult living at home currently and I have stopped all of my usual walking habits due to this ongoing discomfort and my age. I hope someone can give my some advice as to what is going on and what I should do to alleviate the situation."
654,"Children are certain to take advantage of any possibility to have their own questions addressed, so the smartest approach is to preemptively confront the concern with the child in anticipation of such an event."
655,Would it be good for me to talk to my child about the pandemic?
656,"Hi,Book me for an extra test fro covid-19."
657,Antibodies must develop after you're exposed to COVID-19 to give an accurate reading.
658,FOCUS ON THE PRESENT TO AVOID REMINATING ON THE COULD BE
659,"If I allow my daughter to go to school, will she be at a social advantage?"
660,How do I know when to self quarantine?
661,I will always wash my hand whenever am back from a crowded place or from grocery shopping
662,Give honest answers to contact tracers when in an interview.
663,These contact tracers will only take 15-30 minutes of your time and ask you a handful of questions to make sure you are safe and not at risk of catching COVID-19.
664,"Disabled loved ones need extra help with cooking and chores, but you must wash your hands regularly and maintain 6 ft distance whenever possible."
665,My friend is disabled. Should I ask her how she's completing tasks around the house?
666,"Medical advise and issues that need addressing, particularly those that have reference to a given area, should be taken up with a community's own specific health department."
667,"When answers are needed for any definitive medical queries, a proximate medical agency should be contacted."
668,same sleep schedule every night so your body can find its natural
669,How do I fix my sleep cycle?
670,Interacting in the same physical space is discouraged for individuals who do not already share that same living space.
671,"stay away from gatherings and meeting people, except you live with said persons."
672,Stepping Outside Your Comfort Zone
673,How do I find people who will help me get a job?
674,Slide the folded fabric through two hair bands.
675,Place hair bands far enough apart that the mask will cover your face.
676,"If persons who reside someplace other than your home are using an elevator, refrain from also doing so simultaneously."
677,"Keeping six feet apart is not hard outside and in various types of large capacity venues. But, it is almost impossible on structures like elevators. So, do not enter one with the intent of sharing the ride, unless the other people are also going to your home."
678,"Having a lot of free time upon graduation college and be tricky.  Therefore, eat a balance meal, exercise regularly, and develop a sleep routine."
679,"With a focus on the particulars of your personality and lifestyle, generate a tailor-made program of habits and behavior and follow it regularly."
680,Ask your doctor about the possibility of scheduling a COVID-10 test.
681,Can i come for a check up?
682,"You need to stay informed, but you don't need to drive yourself insane. ... In the current environment, staying up to date with the news can literally save ... And the right information about accessing help for your business could ... Network, as well as sections in the New York Times and the Guardian focused ..."
683,"During this period of unrest, worry and the sudden surcease of one's normal routines and business, it's easy to give in to recreational drug use and alcohol. However, it is wisest to forego the pleasure and deal with the dearth of usual activity another way.."
684,What are some good ideas for organizing your home?
685,"Look well on your work place by making it clean and nice, it will help you on productivity and mood and ethic."
686,Can i reach my family and friends through text messages?
687,Are specifications for CE discontinued?
688,Stick to normal routine.
689,Are we who were in touch with them told whether people respond positively?
690,What was shut down by the state for those on the list of counties being monitored?
691,When will people be able to gather again?
692,What clinics can test me for COVID-19?
693,Update yourself on the latest COVID-19 related scams by visiting the US governments website.
694,What is the best way to handle and prep the body of a deceased who suffered from covid-19?
695,Face coverings required
696,Will my personal information be secure during contact tracing?
697,Is there a way to save spoiled cheese?
698,What are some sanitary precautions I need to take?
699,what is a common characteristic of  an infectious person
700,"Once a claim has been accepted, there are levels of assistance that are offered."
701,What is a summary of the NY health insurance policy benefits?
702,"If someone with the coronavirus died of something other than COVID-19, why publish it in the epidemiological death data?"
703,Is there overnight camping available in the second phase?
704,Do vitamins and minerals have any effect at preventing or curing COVID-19?
705,What kind of COVID-19 response is source control?
706,Can I buy gowns and use them as coveralls?
707,Family activities can provide as much boredom relief as solo pursuits like reading or listening to music.
708,Check that the evacuation holds are located in your area so that you do not get confused and lose your shelter.
709,Is there any appropriate advice to protect the police against exposure of COVID-19 canines?
710,What signs and symptoms should I pay attention to if I suspect I have been infected with COVID-19?
711,Seperate yourself by 6ft (1.8m) from other people at all times.
712,Confirm the care facility's visiting policy.
713,Are SARS=CoV-2 tests validated by the FDA?
714,Will COVID-19 be tested by pregnant women?
715,"What should I do, if my work requires customer interaction?"
716,During the COVID-19 pandemic How will I get my prescriptions filled?
717,Why communities can no longer leave safety to only the criminal justice system. â€¢ How knowledge about the factors that lead to crime and insecurity has increased.
718,Can you explain the ways in which COVID passes from person to person?
719,Are there any masks available? I can't afford to buy one.
720,Can you be restricted from certain types of importing?
721,Do deeper cleaning with a 1:100 solution of bleach to water.
722,What are the non-acute issues the human body faces due to coronavirus down the road?
723,determine the proper configuration of your bathroom
724,Offer the senior citizens the opportunity to communicate with a hotline if they fell distressed or sick.
725,Does my health profile put me at a higher risk for COVID?
726,Optimize your daily layout so you can prioritize what your family needs to thrive
727,How would I be able to alter my mask to add an additional filter?
728,How do SARS or seasonal flu compare to COVID-19?
729,How may adults work with children and keep them interested?
730,"Among those who qualify for the Paycheck Protection Program, are agricultural and other forms of coops eligible entities?"
731,What is good advice for parents of bullied children being picked on because of COVID-19? What if it is at their school?
732,What can be done to prevent widespread transmission of disease in long term care settings?
733,Read literature that has educational value for your kids
734,"Can you tell me about what I can do about one of my workers who offers a critical service, but does not desire to come in to work?"
735,Should I make preventative changes for asthma patients to lessen their chances of testing positive for COVID-19?
736,"Are there more safety protocols, besides the ones already in place, that a law enforcement agent could practice while conducting a death investigation?"
737,Is COVID-19 really that different from catching a common cold?
738,Continue being careful not to spread the coronavirus by taking proper precautions.
739,How does COVID-19 make it's way from person to person?
740,Can you safely hold funeral or memorial events right now?
741,How many priorities are there for testing older folks in nursing homes?
742,How will the government get the vaccine to COVID-19 patients?
743,Go to work if you're in a very critical position and you can't work at home.
744,"Technical operation of online use of you webcam, microphone and lecture portion of your class."
745,Can you tell me if they cancelled the huge event I was planning on going to?
746,the testing identifies no new cases of SARS-CoV-2 infection among residents or HCP for a period of at least 14 days since the most recent positive result.
747,What is being done to protect people in nursing home?
748,Can you tell me how you define a confirmed case?
749,Is an expired respirator useful?
750,3.1 Is the distance I can fly restrictive?
751,"For transportation to and from schools, can you tell me of the possible risks involved?"
752,If coronavirus patients die from COVID-19 are they still allowed to donate their organs?
753,Use a humidifier to help breath when ill..
754,Exemptions to wearing face coverings.
755,Are neighbors aware of the close proximity of at risk individuals?
756,Communicate with your child that it likely isnt a good idea to stress.
757,Is it possible that air condition systems are helping to spread the virus?
758,Is it possiable to order some take out?
759,clean and remove germs from surfaces shared with the community
760,What are some medicial issue covid-19 can cause?
761,"9. Are NIH Human Fetal Tissue (HFT) mandatory requirements interchangeable, in response to the public health ordeal?"
762,What kind of PPE do environmental service workers need to wear when cleaning out and disinfecting COVID-19 patients' rooms?
763,"When at the restaurant, don't hang around there too long."
764,Does leaving my job have an impact on my ability to get PUA?
765,Closing schools will  contirbute to the containment of COVID-19.
766,"Does the presence of the virus make implementation of government policy, like Phase One Deal, difficult for China?"
767,Give small animals toys by saving paper towel and toilet paper tubes for them.
768,"What should companies do with essential workers who catch COVID-19, but do not have symptoms?"
769,What do crunches help with?
770,Is there an available testing protocol to screen yourself for COVID-19?
771,Choose if and when the foodstuffs are supplied.
772,What are the cleaning cost for Covid-19?
773,How can businesses offer protection to their employees to guard against Covid-19 in the non-healthcare environment?
774,Am I allowed to contact DNR fisheries personnel to get a tagged fish checked?
776,Does disinfectant have any effect on COVID-19?
777,"My boss has cut my hours down, I am still employed. May I get benefits?"
778,I'd like to know more about COVID-19 tests
779,does standing six feet away from other people helps to avoid the spread of virus ?
780,View a webinar presentation to gather information on fun and new topics.
781,"To convince them, use examples from among their peers who take the threat of the coronavirus pandemic seriously."
782,Did dexamethasone become a WHO Essential Medicines List item?
783,"If the Coronavirus (Covid-19) causes an employer to slow down or suspend activities, will employees qualify for unemployment insurance?"
784,What resources are available for those who may have symptoms?
785,What are some good pointers to give to patients on the subject of staying clear of the virus and remaining healthy?
786,"How often will common areas at the DND be cleaned under the new protocols, will this include new touchless toilets?"
787,What has to happen to gyms to open again?
788,What cleaning needs to be completed routinely to stop spreading COVID-19?
789,Is it safe to wear my N95 respirator mask with the exhalation valve or should I cover the valve for it to be safer?
790,In the future the COVID-19 trackers will show the data in information listed:
791,"Are their guidelines for offering education to students, families, and employees from the CDC?"
792,"When they refer to a COVID-19 case, what exactly do they mean by that?"
793,"First respoders, whether they be for wild fighters or fighting COVID-19, whould be given testing priority."
794,What is being done for those with an asthma exacerbation?
795,Is the CDC tracker for covid 19 updated on a routine base?
796,Is there a plan for more deaths due to coronavirus in the individual communities?
797,Reduce contact with loved ones until they've washed their hands and changed their clothes.
798,Should a patient with covid-19 still take a coronovirus test even after they have recovered?
799,"Spend less time watching the news so that you don't feel as depressed, sad or upset quite as often."
800,What type of virus is the novel coronavirus?
801,Prevent others from being affected with corona
802,Is there anyone who should not or cannot. get tested for COVID-19?
803,"My employer doesn't have any safety protocols for COVID-19, and I'm not sure how to handle it."
804,"If a team shares the same fearful feelings, how can we discuss this so it is productive and helps us move forward?"
805,How can the possible impact on budget be controlled by municipalities?
806,What should the city track according the the federal public health recommendations?
807,"How come in America we're not spraying sidewalks and other vulnerable public areas with disinfectant, as other countries seem to be doing regularly?"
808,What is the latency in being exposed to COVID-19 and the onset of symptoms?
809,Are there identifying flags once your body has been infected with covid19?
810,"If I have certain questions on the subject of making or disseminating medical gloves, who should I reach out to for answers?"
811,How do I set up a manufacturing business?
812,"How is coronavirus currently impacting society, and how much of a risk is it posing to me?"
813,Is Georgia tracking coronavirus information?
814,Does mask wearing prevent spread and/or prevent infection?
815,Why do they do an antibody test for COVID-19?
816,What is the opinion of students and other your people volunteering during COVID-19 in the medical field?
817,How is the medical community treating covid19?
818,What will I need to have in order to have my preparations made for isolation due to infection?
819,Have they come up with a vaccine that can help people avoid getting ill?
820,Are SBA loans included in the lending limits for the state chartered banks in Michigan?
821,Can I request paid leave if I am employed and contract coronavirus?
822,Are there mental health resources available for those who have been drinking?
823,What are tips to prevent stiffness from working at home?
824,How long does COVID-19 stay on surfaces?
825,What is the confirmation procedure to determine whether or not a suspicion of a coronavirus case is genuine?
826,Does the US government offer financial assistance for small businesses?
827,How are decisions made in regards to slowing the spread of COVID-19?
829,When is the semi annual review for OLAW waivers?
830,What steps are being taken to be able to provide services such as occupational therapy to the students?
831,How can the pharmacy help stop the spread of COVID-19?
832,If my employer gives a work at home option can I be eligible for UC?
833,At what point in time can I reasonably hope to see my benefits arrive?
834,Is it possible for me to still get my Readjustment Allowance (TRA) during suspension?
835,How do I know if I will get my disability if offices are not open?
836,Why is the home isolation important and when can I stop home isolation?
837,What does it take for an outdoor facility to be called an outdoor facility?
838,Does CDE have guidance in addressing Covid-19?
839,Where do I send the at-home tests since they're approved by TRICARE?
840,Are my symptoms Covid 19 or the flue?
841,For how long should I continue to disinfect my groceries?
842,"When a report time is missed, when will the next one come?"
843,"When I've had direct contact with COVID-19 patients in the past, I never wore a mask, so I'm confused as to why I need to start wearing one."
844,Is there a way i can find out the location where my health district or health region my city or country is?
845,How can I find someone to care for my child after we took a trip?
846,News reaching me indicates spread of a new swine flu with pandemic potential in China. This could lead to a second pandemic.
847,How can COVID-19 and other coronaviruses undergo the recommended treatment?
848,If someone in my family gets covid should they be taken to a medical facility?
849,What are the symptoms of COVID-19 in children?
850,What does it mean to trace contacts someone has had?
851,People engaged in exercise don't need to be wearing any type of mask.
852,How do I keep myself out of risk and stop others from being at risk of infection by covid?
853,How can serology be used by WHO as part of its response?
854,"If a woman has experienced violence because of COVID-19, as a healthcare worker, is there anything that I can do to help?"
855,What are strategies for high risk workers to ensure safety from covid19?
856,Are food premises safe to visit during this pandemic?
857,Is there a way to clean my laptop carefully without damaging it?
858,"As a senior citizen, I have been experiencing random pains in my knee. Is there anything I can do to help with the pain?"
859,How reliable is COVID-19 testing?
860,Is there a way to check for anitbodies even though I never felt ill with covid-19?
861,"To clean, make sure to use a microfiber cloth."
862,Shoot off an email to another person and it will help keep the lines of communication open.
863,One way to help disinfect is if you clean your hamper after each use.
864,Make sure they remember to listen to verified news and information sources only and to invest small amounts of time ingesting the news.
865,To help someone who is having a panic attack stay calm.
866,Make contact with a credit counseling entity in the event that you feel like you're drowning.
867,It's important to sterilize high-touch ares on public transit.
868,A meal schedule can help reduce chaos in the home.
869,What routines are good for young women?
870,Will running stairs give me a good walking exercise session?
871,Be certain to wash your hands and also use disinfectant after all items that you've purchased are stored.
872,College students should contact the financial aid office.
873,List what you would want to be included.
874,"If you're under the weather, don't go out to get food - Have it dropped off instead."
875,Track central community meetings' rules.
876,It's important to not allow any contact between your pets and human beings who have come down with the virus.
877,"As soon as it becomes evident that your payment won't be made, reach out to your lender for help."
878,Don't get behind on your vaccinations.
879,Lead them to trustworthy places for news and facts so that they aren't subject to incorrect or misleading information.
880,Can I use Coolmath.com to find fun math games?
881,Are you following any guidelines to ensure minimal spread of COVID-19?
882,"When you put on a mask, ensure it has two or more layers."
883,Are credible news sources more reliable than social media?
884,Stay away from crowded elevators and other small spaces.
885,Am I required to remove food from packaging and throw it away?
886,Focus on the fact that most  cases are mild and most people recover from this.
887,Find a charitable organization to take your unused medical and cleaning supplies.
888,What places nearby are open for food service?
889,Definitely make sure to research the other causes.
890,How many patients are in the ICU or on ventilators?
891,How are the rules for CDPH school guidance going to be enforced?
892,Is it safe to take public transportation if I am currently not sick?
893,How do I reduce my risk of COVID-19 at work?
894,Will you tell me more about masks with respirators?
895,"During a death investigation, should law enforcement officers take any extra precautions?"
896,"If there is provision for individual spacers, would it be ok for a school's metered dose inhaler to be used by more than a one student if the actuator is cleaned after each use?"
897,How can concerned parents most effectively address the topic of COVID-19 with their offspring?
898,Can we do anything to protect older support staff for sporting events from getting sick with covid-19?
899,Is there a way to clean and disinfect machinery or equipment?
900,How reliable is the RT-PCR test?
901,What resources are there for pets of the deceased?
902,Does protective clothing get tested by the CDC?
903,When do the guidelines for COVID-19 not apply?
904,Can walking as a family help with boosting exercise?
905,How do I help people accept failure?
907,How would one most effectively explain what is meant by COVID-19
908,"Which is more effective in terms of killing germs, hand sanitizer or soap and water?"
909,"If I have been in contact with a covid patient, but have no symptoms, what do I need to do?"
910,Am I able to travel as necessary now?
911,Will medical gloves  good protection for coronavirus?
912,Are tests allowed to be offered prior to or without an EUA?
913,What studies are being done to evaluation how long COVID-19 lives on surfaces?
914,"As the virus continues to affect our lives, what sort of activities should I restrain from participating in?"
915,The company will continue to follow CDC guidelines.
916,What is the plan for further waves of COVID outbreaks?
917,What's the best glove type for patient care in a hospital environment when a COVID-19 case is possible or has been verified?
918,What are the best gloves to use for COVID-19?
919,Health department staff will help identify the dates for your self-quarantine. Health department staff can also provide resources for COVID-19 testing in your area
920,I have never been part of a contact tracing program. What should I expect to happen if I am actually in contact with an infected individual?
921,How can my facility for senior citizens prepare for coronavirus?
922,Ways to prepare for coronavirus in communities serving elderly individuals
923,There no need to use disinfection on sidewalks.
924,Should we clean sidewalks and roads to prevent coronavirus?
927,Allow employees to work from home where possible.
928,Workers should be in leave and continue their assigned work in their home. Some privileges should be given to those who are in severe illness.
929,Will the corona virus get weaker over time?
930,"Is it true that the more time goes by, the weaker COVID-19 will become?"
931,Street cleaning should resume despite the pandemic.
932,Contiue with street cleaning.
933,For what length of time will social distancing be a necessary behavior?
934,"Most likely for several months, and then multiple times after a relax period."
935,what shows that you are infected with covid 19?
936,What are the manifestations of COVID-19 contamination
937,There are a ton of symptoms. Do your research.
938,What symptoms commonly typify COVID-19
939,"I need an explanation as to what contact tracing is, what it is for and how it is accomplished."
940,"How is contact tracing defined, why does it matter, and how does it work?"
941,it can be prevented from spreading  if the infected person had some precautions
942,Can someone with coronavirus spread it even if they're asymptomatic?
943,"What alternatives are in place, if any, to help me forestall employee layoffs?"
944,Are there choices I have to avoid laying off employees?
945,How are coronavirus and Covid-19 differentiated from each other?
946,what can be said makes coronavirus dissimilar to covid-19?
947,"Can coronavirus possibly exist on produce items, fruits and vegetables, and other foodstuffs?"
948,Is it possible that the covid-19 virus is on food?
949,Is there somewhere to locate the Emergency Notices of Special Interest for each participating IC?
950,Does the NOSI (Emergency Notices of Special Interest) for every engaged IC occupy a specific accessible spot?
951,Go to the hospital if you need to.
952,Can getting a COVID-19 test or treatment affect my citizenship or green card request?
953,How is the agency helping customers who are struggling with money troubles caused by the COVID-19 crisis?
954,What to do if job is unsafe during pandemic?
955,Can a business that respects pandemic guidelines open additional registers?
956,How can my business follow the new Social Distancing Protocol requirements?
957,"In order to be in proper compliance with the most current social distancing standards, what should my commercial site be doing?"
958,How are COVID-19 testing and COVID-19 screening distinct from one another and at whom is each targeted?
959,Contacting a nurser would be the first step.
960,NASS reports will be delivered on its regular schedule.
961,NASS reports are being released on schedule
962,How is the presence of COVID-19 detected in testings?
963,What is the purpose of the Virginia Department of Health (VDH) Coronavirus Serology Project?
964,Virginia schools will slowly resume in-person classes.
965,"I need specification as to whether my child should be attending class during Phase II, or Phase III."
966,Should I use a mask with a valve or vent to avoid COVID-19 spread?
967,Is it recommended to wear a mask with either a vent or a valve as a way to restrict the spread of COVID-19?
968,Should staff universally use PPE given the high proportion of elderly and compromised patients?
969,"Should we make our In-Home Services employees use PPE for all clients to guard them, as many are old and/or compromised?"
970,Does WHO approve dexamethasone?
971,The WHO has not prequalfied dexamenthasone for COVID-19 injection managment.
972,Can you catch COVID if someone doesn't have symptoms?
973,"Workers proceeding with their jobs during the pandemic can and should expect what sorts of health and psychosocial support, specific to Covid-19?"
974,Should employees get access to mental health and psychosocial help during the COVID-19 pandemic?
975,Eat healthier and do easy workouts.
976,"I get shoulder pain in the AM.,  when I wake up. I am on a period of quarantine, but I have decided not to walk anymore, due to my age. What is going on?"
977,Raise the subject prior to any inquiry being posed by one's children.
978,Tell your child about the subject before the child asks about it.
979,"Hi, I want to get an extra test on covid -19 to make sure,as i am not feeling about the first one."
980,Getting a test done too quickly may give a false negative.
981,CAN I USE MY MASK MULTIPLE TIME?
982,Send your child to school to help them socially.
983,What if i don't feel well?
984,II will stay at least six feet apart from people when am shopping.
985,Work with contact tracers.
986,Contact tracers may reach out to you. Please cooperate with them.
987,Maintain social distancing and sanitary precautions when helping disabled family with tasks.
988,Discuss assistance with household chores.
989,"Each locality has a dedicated health department, available for health specific queries."
990,Get in touch with your applicable wellness agency regarding any particular medical inquiries.
991,sleep cycle is closely linked to light
992,How do I maintain a normal sleep schedule?
993,Refrain from in-person meetings except when your home is shared by your partner and yourself.
994,don't go near people unless you live with them
995,Looking in Stable Industries
996,How can I contact people who are in my network to find out if there are any jobs available out there?
997,Slide two hair ties onto the bandanna.
998,"Five inches from either end, place both bands."
999,Resist riding in elevators containing people not living with you.
1000,Try not to share a lift with anyone that is not going to your own home.
1001,Stick to a routine after graduating college.
1002,Establish a personal regimen.
1003,Ask a doctor for a COVID-19 test.
1004,I think am having the symptoms can i please come for a.check up?
1005,"Try not to ingest pharmaceuticals or imbibe alcohol, merely as a way to deal with a quarantine, or other issue causing worry and stress and unalieved boredom."
1006,How to organize your place.
1007,Keep it clean it will help you on productivity and mood and ethic.
1008,Can i send text messages?
1009,Is CE criteria waived?
1010,Stick to everyday normal schedule.
1011,â€‹Have any UC rules changed because of the Governor's emergency declaration regarding the coronavirus pandemic?
1012,When testing positive people are informed of those who have been in touch with them?
1013,"In the counties on the monitoring list, what did the State close down?"
1014,When will gatherings be safe?
1015,Where do I go to get tested for COVID-19
1016,Monitor the US governmentâ€™s website on COVID-19 for the new fraud schemes.
1017,How can i protect myself when prepping the body of someone who passed away from Covid-19?
1018,Should I get a face covering?
1019,What are you going to do with my personal info?
1020,Does removing the exterior from chees make it last longer?
1021,How can I take sanitary precautions when I visit a Senior-Citizen home?
1022,What differentiates gowns and coveralls?
1023,There are lots of ways to keep from getting bored while social distancing so pick something.
1024,Check if there is eviction remaining in your area so you don't lose your house.
1025,Is there any clear advice to protect the police from exposure to COVID-19 canines?
1026,Stay at least 6ft (1.8m) away from other people.
1027,Review the visiting policy at the care facility.
1028,FDA has validation about SARS-COV-2
1029,Will pregnant women have COVID-19 tested?
1030,What should I do if my job requires customer contact?
1031,How can I have my prescriptions filled up during the pandemic COVID-19?
1032,"The Federal Government has already taken a historic series of actions, ... protocols to support them will be developed in concert with State, local, and tribal stakeholders"
1033,How is COVID transmitted?
1034,"I can't afford a mask, where can I find one?"
1035,Are there any import limitations?
1036,"For deeper cleaning, make a 1% bleach solution."
1037,What are the long-term ailments of coronavirus?
1038,Evaluate the setup of your washroom
1039,Allow them to contact a hotline if they feel sick or distressed.
1040,Is my risk for getting COVID heightened?
1041,Adjust your schedule if you have any kids in your family
1042,Donate PPE to local shelters.
1043,How to I add an air filter to a mask?
1044,Is this virus similar to SARS or to the seasonal flu?
1045,What can adults do to engage children?
1046,Do agricultural and other forms of coops qualify for PPP?
1048,"Given community transmission is widespread, what measures will help prevent the spread in long term care facilities."
1049,Read non-fiction childrenâ€™s books to your little ones
